,X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DOY,OCC_DAY,OCC_HOUR,OCC_TIME_RANGE,DIVISION,DEATH,INJURIES,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
2,-79.518758927,43.769157185,3,GO-2004311851,2004/05/14 04:00:00+00,2004,May,Friday,135,14,16,Afternoon,D31,1,1,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
32,-79.514763739,43.76720514,33,GO-2004315641,2004/04/17 04:00:00+00,2004,April,Saturday,108,17,11,Morning,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
43,-79.474292411,43.755528418,44,GO-2004239848,2004/04/21 04:00:00+00,2004,April,Wednesday,112,21,0,Night,D32,0,1,27,York University Heights,27,York University Heights (27),-79.4742924114687,43.7555284181656
72,-79.508171981,43.743052435,73,GO-2004602734,2004/07/13 04:00:00+00,2004,July,Tuesday,195,13,17,Afternoon,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5081719812522,43.7430524352855
73,-79.5228450549999,43.772988544,74,GO-2004564223,2004/07/01 04:00:00+00,2004,July,Thursday,183,1,0,Night,D31,1,0,24,Black Creek,24,Black Creek (24),-79.5228450546412,43.7729885440449
83,-79.508728704,43.7563828950001,84,GO-2004388577,2004/05/12 04:00:00+00,2004,May,Wednesday,133,12,0,Night,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5087287039602,43.756382895038
90,-79.514763739,43.76720514,91,GO-2004255502,2004/03/29 05:00:00+00,2004,March,Monday,89,29,16,Afternoon,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
98,-79.5104455809999,43.7492207270001,99,GO-2004310859,2004/04/15 04:00:00+00,2004,April,Thursday,106,15,0,Night,D31,0,2,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5104455810769,43.7492207267183
106,-79.519288183,43.770266264,107,GO-2004645696,2004/09/05 04:00:00+00,2004,September,Sunday,249,5,23,Evening,D31,0,0,24,Black Creek,24,Black Creek (24),-79.5192881828067,43.7702662644401
133,-79.50006508,43.7673077600001,134,GO-2004642019,2004/08/27 04:00:00+00,2004,August,Friday,240,27,23,Evening,D31,0,0,27,York University Heights,27,York University Heights (27),-79.500065079958,43.7673077602715
170,-79.517071158,43.7548481310001,171,GO-2004629200,2004/08/17 04:00:00+00,2004,August,Tuesday,230,17,1,Night,D31,0,1,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5170711581945,43.754848130508
182,-79.514763739,43.76720514,183,GO-2004232800,2004/03/14 05:00:00+00,2004,March,Sunday,74,14,18,Evening,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5147637388827,43.7672051400814
186,-79.5192354659999,43.752865543,187,GO-2004387646,2004/05/13 04:00:00+00,2004,May,Thursday,134,13,16,Afternoon,D31,0,0,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5192354664486,43.7528655426291
189,-79.518758927,43.769157185,190,GO-2004392487,2004/05/14 04:00:00+00,2004,May,Friday,135,14,16,Afternoon,D31,0,1,24,Black Creek,24,Black Creek (24),-79.5187589269812,43.7691571849407
192,-79.524283372,43.7559224460001,193,GO-20051180813,2005/08/03 04:00:00+00,2005,August,Wednesday,215,3,0,Night,D31,0,4,24,Black Creek,24,Black Creek (24),-79.5242833716889,43.7559224457498
